factor_id,date_count,symbol_count,valid_date_count,raw_observation_count,zscore_observation_count,winsor_lower,winsor_upper,min_cross_section,chunk_year
market_beta_252,271,4420,103,358992,358992,0.01,0.99,30,2020
size_total_market_cap,271,4420,271,963853,963853,0.01,0.99,30,2020
value_bm,271,4420,231,687755,687508,0.01,0.99,30,2020
momentum_12_1,271,4420,19,68206,68206,0.01,0.99,30,2020
profitability_roe_ttm,271,4420,204,658617,658551,0.01,0.99,30,2020
investment_asset_growth,271,4420,0,122,0,0.01,0.99,30,2020
abnormal_turnover_21_252,271,4420,104,371582,371582,0.01,0.99,30,2020
market_beta_252,511,4901,343,1216105,1216105,0.01,0.99,30,2021
size_total_market_cap,511,4901,511,1860364,1860364,0.01,0.99,30,2021
value_bm,511,4901,471,1579825,1579578,0.01,0.99,30,2021
momentum_12_1,511,4901,259,960009,960009,0.01,0.99,30,2021
profitability_roe_ttm,511,4901,444,1551559,1551493,0.01,0.99,30,2021
investment_asset_growth,511,4901,240,732741,732619,0.01,0.99,30,2021
abnormal_turnover_21_252,511,4901,344,1264481,1264481,0.01,0.99,30,2021
market_beta_252,630,5234,462,1709132,1709132,0.01,0.99,30,2022
size_total_market_cap,630,5234,630,2417312,2417312,0.01,0.99,30,2022
value_bm,630,5234,620,2218661,2218586,0.01,0.99,30,2022
momentum_12_1,630,5234,378,1495891,1495891,0.01,0.99,30,2022
profitability_roe_ttm,630,5234,620,2220698,2220623,0.01,0.99,30,2022
investment_asset_growth,630,5234,355,781938,781686,0.01,0.99,30,2022
abnormal_turnover_21_252,630,5234,463,1804311,1804311,0.01,0.99,30,2022
market_beta_252,630,5458,462,1844470,1844470,0.01,0.99,30,2023
size_total_market_cap,630,5458,630,2598500,2598500,0.01,0.99,30,2023
value_bm,630,5458,619,2379971,2379902,0.01,0.99,30,2023
momentum_12_1,630,5458,378,1610956,1610956,0.01,0.99,30,2023
profitability_roe_ttm,630,5458,619,2380597,2380528,0.01,0.99,30,2023
investment_asset_growth,630,5458,348,818571,818138,0.01,0.99,30,2023
abnormal_turnover_21_252,630,5458,463,1952390,1952390,0.01,0.99,30,2023
market_beta_252,629,5495,461,1967965,1967965,0.01,0.99,30,2024
size_total_market_cap,629,5495,629,2767964,2767964,0.01,0.99,30,2024
value_bm,629,5495,616,2549303,2549225,0.01,0.99,30,2024
momentum_12_1,629,5495,377,1699870,1699870,0.01,0.99,30,2024
profitability_roe_ttm,629,5495,616,2549080,2549002,0.01,0.99,30,2024
investment_asset_growth,629,5495,349,860934,860556,0.01,0.99,30,2024
abnormal_turnover_21_252,629,5495,462,2069287,2069287,0.01,0.99,30,2024
market_beta_252,633,5576,465,2094380,2094380,0.01,0.99,30,2025
size_total_market_cap,633,5576,633,2906354,2906354,0.01,0.99,30,2025
value_bm,633,5576,620,2675784,2675718,0.01,0.99,30,2025
momentum_12_1,633,5576,381,1774651,1774651,0.01,0.99,30,2025
profitability_roe_ttm,633,5576,620,2666719,2666655,0.01,0.99,30,2025
investment_asset_growth,633,5576,353,901990,901532,0.01,0.99,30,2025
abnormal_turnover_21_252,633,5576,466,2165076,2165076,0.01,0.99,30,2025
market_beta_252,455,5573,287,1325631,1325631,0.01,0.99,30,2026
size_total_market_cap,455,5573,455,2130787,2130787,0.01,0.99,30,2026
value_bm,455,5573,441,1905740,1905682,0.01,0.99,30,2026
momentum_12_1,455,5573,203,953109,953109,0.01,0.99,30,2026
profitability_roe_ttm,455,5573,441,1902637,1902579,0.01,0.99,30,2026
investment_asset_growth,455,5573,131,117175,116282,0.01,0.99,30,2026
abnormal_turnover_21_252,455,5573,288,1352099,1352099,0.01,0.99,30,2026
